A.C. Reed	PerformArtist	You're Going To Miss Me	Song	Aaron Carthen Reed	Songwriter
A.C. Reed	PerformArtist	Woman In A Pick Up	Song	Aaron Carthen Reed	Songwriter
A.C. Reed	PerformArtist	Roadhouse Blues	Song	John Densmore	Songwriter
A.C. Reed	PerformArtist	Roadhouse Blues	Song	Robby Krieger	Songwriter
A.C. Reed	PerformArtist	Roadhouse Blues	Song	Ray Manzarek	Songwriter
A.C. Reed	PerformArtist	Roadhouse Blues	Song	Jim Morrison	Songwriter
A.C. Reed	PerformArtist	Party With Y'all	Song	Aaron Carthen Reed	Songwriter
A.C. Reed	PerformArtist	Lonely Man	Song	Aaron Carthen Reed	Songwriter
A.C. Reed	PerformArtist	Last Time Around	Song	Aaron Carthen Reed	Songwriter
A.C. Reed	PerformArtist	Junk Food	Song	Aaron Carthen Reed	Songwriter
A.C. Reed	PerformArtist	Give It Up (Smoking)	Song	Aaron Carthen Reed	Songwriter
A.C. Reed	PerformArtist	Florine	Song	Aaron Carthen Reed	Songwriter
A.C. Reed	PerformArtist	Fed Up	Song	Aaron Carthen Reed	Songwriter
A.C. Reed	PerformArtist	Broke Music	Song	Aaron Carthen Reed	Songwriter
A.C. Reed	PerformArtist	Big Woman	Song	Aaron Carthen Reed	Songwriter
Albert Collins	PerformArtist	When The Welfare Turns Its Back On You	Song	Weaver	Songwriter
Albert Collins	PerformArtist	When The Welfare Turns Its Back On You	Song	Thompson	Songwriter
Albert Collins	PerformArtist	When A Guitar Plays The Blues	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	Travelin' South	Song	Gwendolyn Collins	Songwriter
Albert Collins	PerformArtist	Trash Talkin'	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	Too Many Dirty Dishes	Song	Newton	Songwriter
Albert Collins	PerformArtist	Tired Man	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	The Moon Is Full	Song	Gwendolyn Collins	Songwriter
Albert Collins	PerformArtist	The Highway Is Like A Woman	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	The Hawk	Song	Gwendolyn Collins	Songwriter
Albert Collins	PerformArtist	The Hawk	Song	J.B. Richardson	Songwriter
Albert Collins	PerformArtist	T-Bone Shuffle	Song	T-Bone Walker	Songwriter
Albert Collins	PerformArtist	Stormy Monday	Song	T-Bone Walker	Songwriter
Albert Collins	PerformArtist	Soul Food	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	Snowed In	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	Snatchin' It Back	Song	Clarence Carter	Songwriter
Albert Collins	PerformArtist	Snatchin' It Back	Song	George Jackson	Songwriter
Albert Collins	PerformArtist	Same Old Thing	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	Quicksand	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	Put The Shoe On The Other Foot	Song	Gwendolyn Collins	Songwriter
Albert Collins	PerformArtist	Put The Shoe On The Other Foot	Song	H. Williams	Songwriter
Albert Collins	PerformArtist	My Mind Is Trying To Leave Me	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	Mustang Sally	Song	Bill Rice	Songwriter
Albert Collins	PerformArtist	Mr. Collins, Mr. Collins	Song	Gwendolyn Collins	Songwriter
Albert Collins	PerformArtist	Master Charge (version 2)	Song	Gwendolyn Collins	Songwriter
Albert Collins	PerformArtist	Master Charge (version 1)	Song	Gwendolyn Collins	Songwriter
Albert Collins	PerformArtist	Lights Are On But Nobody's Home	Song	Gwendolyn Collins	Songwriter
Albert Collins	PerformArtist	Jam It Up	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	If You Love Me Like You Say	Song	Little Johnny Taylor	Songwriter
Albert Collins	PerformArtist	If Trouble Was Money	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	Iceman	Song	Gwendolyn Collins	Songwriter
Albert Collins	PerformArtist	Iceman	Song	Eric Smith	Songwriter
Albert Collins	PerformArtist	I Need You So	Song	Ivory Joe Hunter	Songwriter
Albert Collins	PerformArtist	I'm Beginning To Wonder	Song	Gwendolyn Collins	Songwriter
Albert Collins	PerformArtist	I'm Beginning To Wonder	Song	Eric Smith	Songwriter
Albert Collins	PerformArtist	I Got Mad	Song	A.C. Reed (Aaron Carthen Reed)	Songwriter
Albert Collins	PerformArtist	I Got A Problem	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	I Ain't Drunk	Song	Jimmy Liggins	Songwriter
Albert Collins	PerformArtist	Head Rag	Song	Gwendolyn Collins	Songwriter
Albert Collins	PerformArtist	Head Rag	Song	Johnny B. Gayden	Songwriter
Albert Collins	PerformArtist	Head Rag	Song	S. Richardson	Songwriter
Albert Collins	PerformArtist	Got A Good Thing Goin'	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	Give Me My Blues	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	Get To Gettin'	Song	Price, publisher unknown	Songwriter
Albert Collins	PerformArtist	Ego Trip	Song	Albert Collins , arrangement by Casey Jones (drums & vocal)	Songwriter
Albert Collins	PerformArtist	Don't Mistake Kindness For Weakness	Song	Gwendolyn Collins	Songwriter
Albert Collins	PerformArtist	Don't Mistake Kindness For Weakness	Song	Eric Smith	Songwriter
Albert Collins	PerformArtist	Don't Go Reaching Across My Plate	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	Do What You Want To Do	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	Conversation With Collins	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	Cash Talkin' (The Workingman's Blues)	Song	Doug MacLeod	Songwriter
Albert Collins	PerformArtist	But I Was Cool	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	Broke	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	Brick	Song	Albert Collins	Songwriter
Albert Collins	PerformArtist	Blue Monday Hangover	Song	Malone	Songwriter
Albert Collins	PerformArtist	Blue Monday Hangover	Song	Caple	Songwriter
